id,name,description,neighbourhood_cleansed,transit,host_id,host_name,host_is_superhost,city,state,zipcode,country,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,price,reviews_per_month,review_scores_rating,accommodates,cancellation_policy
3075044,Charming room in pet friendly apt,"Charming and quiet room in a second floor 1910 condo building. The room has a full size bed, darkening curtains, window A/C unit. It's quiet because it's in the back of the house. Shared bathroom. Guests can use kitchen, living room. Pet friendly. Small but cozy and quite room with a full size bed. Ample street parking. Apt has one more bedroom (which I use) and large living space and kitchen that you can use.  Possibility to do laundry. Two porches. If I am at home, I am likely working in my home office, which is a separate room. I can help you settle in and give you tips and directions on the neighborhood and Boston.  The room is in Roslindale, a diverse and primarily residential neighborhood of Boston. It's well connected via public transportation to other neighborhoods and easy to access by car. Roslindale Square is a nice business district with supermarkets. banks, a bakery, etc. (See my Guidebook for some recommendations). The Arnold Arboretum is just steps away. Plenty of safe s",Roslindale,"Plenty of safe street parking. Bus stops a few hundred feet from home. Buses 35, 36, or 37 will take you to the Forest Hills subway station is approximately 10 minutes. The buses are frequent during the week, less frequent during the weekend. However, many more buses leave Roslindale Sq., which is just 5 minutes away. Commuter rail is also down the road: more expensive but will take you downtown (Copley and South Station) in less than 20 minutes. Does not run on Sundays. The station is Roslindale Village on the Needham Heights line.",2572247,Andrea,f,Boston,MA,02131,United States,42.286240821867416,-71.13437396457161,Apartment,Private room,1.0,1.0,1.0,65.0,1.3,94.0,2,moderate
6976,Mexican Folk Art Haven in Boston,"Come stay with a friendly, middle-aged guy in the safe and quiet Roslindale neighborhood of Boston. You will have you own clean, furnished room (with cable TV, Wi-Fi, and a desk to work at) in an apartment that is filled with Mexican folk art. This is a well-maintained two-family house built in the 1940s. My apartment is on the second floor. This is a pet and smoke-free apartment.   PRICE: Price includes ALL utilities (heat, electricity, Wi-Fi, cable TV, air conditioner), parking in street, and use of back yard. NO SMOKING indoors or outside. Note that the bed is a size ""Full"" mattress, not a Queen or a King. This is ideal for one guest, but if it is two people traveling together, you can fit two in the bed, or the second person can sleep in the living room, on the long couch. (Not a fold-out couch, but comfortable). Additional fee for the second person is $20. The price listed is for one person.  I offer discounted rates for stays of one week or longer.   Guests get free coffee and a ",Roslindale,"PUBLIC TRANSPORTATION: From the house, quick public transportation to Forest Hills station (Orange Line and Commuter Rail) is via two nearby MBTA bus lines. The #38 bus stops one-half block away, and takes you past the Faulkner, then to Jamaica Plain and Forest Hills.  The #51 bus stops one block away, and goes a more direct route to Forest Hills. (The bus also goes to Cleveland Circle in Brookline.) Between the two bus lines, there is a bus that stops here every 15 minutes or so on weekdays; but no service on Sunday. ALSO, the apartment is just 1/2 mile walk to the Roslindale Village MBTA commuter rail stop, Needham Line. The train takes you to Ruggles Station at Northeastern Univ., to Back Bay station and to South Station in downtown Boston, in about 15 minutes time.  There are more city busses, running 7 days a week, from this MBTA rail station. You can also pick up ZIP Cars there.  GETTING HERE FROM LOGAN AIRPORT: By public transportation: You take the free shuttle bus at the airpo",16701,Phil,t,Boston,MA,02131,United States,42.29243788665679,-71.13576525374667,Apartment,Private room,1.0,1.0,1.0,65.0,0.47,98.0,2,moderate
1436513,Spacious Sunny Bedroom Suite in Historic Home,"Come experience the comforts of home away from home in our fabulous bedroom suite available in Roslindale, a neighborhood in Boston.  Enjoy sleeping on a large king sized bed with plush down bedding, access to a dishwasher, washer dryer and home gym. The house is incredibly accessible to public transportation and the center of Boston. Free street parking is available right in front of the house. Weekend farmers markets, restaurants and grocery stores are a 10 min walk away from the house. Most places you find in Boston are small however our bedroom suite is large. The bedroom has plush down pillows and a down comforter. The mattress is fitted with a memory foam topper that gives each guest the best sleep. The leather couches are cozy.  The large leather couch can be converted to a bed. The television has been updated to a smart tv therefore you can access most tv programs through there including, HBO, Showtime and Cinemax. If you want to enjoy cable television, there is a tv in the kit",Roslindale,There are buses that stop right in front of the house and down the street. We are a convenient bus ride away from the forest hills MBTA stop which is the subway system in Boston. There's free street parking all around the house should you have a car.,6031442,Meghna,f,Boston,MA,0,United States,42.281106188273654,-71.12102117350554,House,Private room,1.0,1.0,2.0,75.0,1.0,100.0,4,moderate
7651065,Come Home to Boston,"My comfy, clean and relaxing home is one block away from the bus line, on a quiet residential street.  Private room includes two comfortable single beds.  Full bath and half bath may be shared with 1-2 other guests.  Light breakfast included. AC Clean, attractive, private room, one block from the bus line, on a quiet, safe street. Two comfy single beds. Full bath and one half bath shared with 1-2 others. Kitchen privileges and breakfast included. Air Conditioned. Five minute walk to shops. You will have access to the front and side porches, the living room with TV, and the kitchen/dining area. I love my city and really enjoy sharing it with guests!  I live in the home and  share the kitchen and common spaces; my room is on the third floor.  I work full-time, and am out a lot.    I will be happy to provide you any information that would be helpful in navigating Boston.  It's a wonderful city and I hope to help make your visit here enjoyable. I suggest you get the ""What's App?"" phone app",Roslindale,"From Logan Airport  and South Station you have 3 options to get to my home: 1. Take the airport shuttle to the MBTA. (If you're at South Station, the MBTA is right at the bus station)  Take the MBTA subway to the ""Orange line"" train stop at Forest Hills station (it involves a switch that doesn't cost money).  From there, go to the Washington Street side of the station (not the Hyde Park Avenue side) and get bus #35, 36 or 37.  Get off at the Belgrade Avenue & Walworth Street stop (by 165 Belgrade Avenue).  My home is a 3-minute walk from there.   The MBTA website has a tab ""Rider Tools"" which will give you excellent, detailed routes and times to get anywhere in the city.   2. Take a cab - which usually $35 to 40 from Logan and much less from South Station, unless there is terrible traffic.  3. Or you could follow step #1 to Forest Hills Station, then take a cab from there (they are lined up) to my home (about $5-7). 4. The Silver Line is also an option - you can get their schedule on t",15396970,Linda,t,Boston,MA,02131,United States,42.28451220982457,-71.1362580468337,House,Private room,1.5,1.0,2.0,79.0,2.25,99.0,2,flexible
12386020,Private Bedroom + Great Coffee,"Super comfy bedroom plus your own bathroom in our big, sunny condo. Roslindale is an outer neighborhood of Boston. For guests interested in downtown Boston, we are a 45-minute ride via public transportation. We're also just steps from the Arnold Arboretum, nature's gift to Boston. Driveway parking is available. Our sunny condo is located on the second and third floors of a 2-family home. Our guest bedroom and private bath are on the first floor of our unit. In addition to the guest quarters, we have a large, airy living room that you're welcome to relax in, and a three-season porch off the back. I feel fortunate to have a home that's the best of both worlds: convenient to the city, but peaceful with conservation land behind us and the Arnold Arboretum just down the street.  In addition to our small family, we have two cats (one of whom guests will never see). Guests are welcome to share our living room and refrigerator space. We're busy but always happy to have guests in our home and t",Roslindale,"To reach downtown Boston via public transportation takes about 45 minutes. Guests can take the MBTA 51 bus and connect to either the Orange Line at Forest Hills, or the Green Line (D train) at Riverside, depending on where you want to go. In addition, we're a 10-minute walk from the Roslindale Village station on the MBTA Commuter Rail, another option for reaching downtown.",64200298,Deborah,t,Boston,MA,02131,United States,42.291689800769035,-71.13189277475922,Condominium,Private room,1.0,1.0,1.0,75.0,1.7,100.0,2,flexible
5706985,New Lrg Studio apt 15 min to Boston,"It's a 5 minute walk to Rosi Square to catch the train to downtown Boston (15 min ride). HUGE basement studio apartment  (736 sq/68 sq meters)  with separate private entrance under the back deck-low entrance on exterior (60"") Tall interior height 99"". King size bed in the bedroom area which is separated by a 3/4 wall from the  open plan living area. The leather couch converts to a bed (44wide) for a single guest. The whole house was recently redone and it 's only a 5 minute walk into Rosi Square- the new hip area of Boston - with the train into downtown Boston  (15 minute train ride) , several good restaurants, grocery, bakery, etc. Free wifi and off street parking. This studio is in the basement and has a private separate entrance under the back deck.  The ceilings are a bit over 8 feet tall and the windows are located just below the ceiling. The kitchen does NOT have an oven. It only has a small fridge, microwave, fancy toaster oven and coffee pot.  I may be in residence upstairs in ",Roslindale,The commuter rail (Needham Line) is a 5 minute walk and many bus lines are close also depending where you are going. It is 7.9 miles to downtown Boston (South Station) if you decide to drive or take an UBER or regular cab.,6570877,Juliet,f,Boston,MA,02131,United States,42.28138962623447,-71.13119041987277,Apartment,Entire home/apt,1.0,1.0,2.0,100.0,4.0,90.0,3,strict
2843445,"""Tranquility"" on ""Top of the Hill""","We can accommodate guests who are gluten-free, vegan and/or vegetarian.  We'll spoil you in our beautifully maintained grand two family home built circa 1924 with spectacular views of the nearby Boston skyline. You'll be treated to a delicious continental breakfast each morning. You will find yourself in a quiet neighborhood only a 4 minute walk to the bus. On street parking available. Sleep in a comfortable spacious queen-size bed and awake to the melodious sounds of birds chirping. We provide a bedroom and full shared bath.  Rates are dropped by 10% for the winter months.  See below!  From the front of the house you have a panoramic view of Boston and from the back deck you have a private space overlooking our spacious back yard and the greenery of the neighborhood.  We provide the towels and the linens.   (For the summer months, we have air conditioning in the bedrooms)  Our home is impeccably clean.  We vacuum, dust, and clean everywhere before and after our guests arrive and depar",Roslindale,We are a few minutes walk to public bus service with easy access to downtown and suburbs.,3164508,Marilyn,t,Boston,MA,02131,United States,42.28194609607024,-71.14102161135577,House,Private room,2.0,1.0,1.0,75.0,2.38,96.0,2,moderate
753446,6 miles away from downtown Boston!,"Nice and cozy apartment about 6 miles away to downtown Boston, and only  30 minutes via public transportation with plenty of street parking. It is a 5 minute walk from Roslindale Village where you can find public transportation. Nice and cozy apartment about 6 miles away to downtown Boston and only about 30 minutes via public transportation with plenty of street parking. It is a 5 minute walk from Rolsindale Village where you can find public transportation, a Supermarket, a Bakery, and a ton of great bars and restaurants. It is also 1 mile from Forest Hills Station:  Bus/Subway/Train. It is conveniently located, with a small town atmosphere and just minutes to the city.  The bedroom is about 8 x 8, with a bunk bed for 2 guests including, a dresser, closet and a small desk. No TV. Shared bathroom. Amenities include: Free WIFI internet. Fresh towels. Pets: 1 cat. Roslindale is a primarily residential neighborhood of Boston, bordered by Jamaica Plain, Hyde Park, West Roxbury and Mattapan.",Roslindale,0,3962517,Sami,t,Roslindale,MA,02131,United States,42.285877639201935,-71.12490955692161,Condominium,Private room,1.0,1.0,2.0,58.0,5.36,96.0,2,moderate
849408,Perfect & Practical Boston Rental,"This is a cozy and spacious two bedroom unit with everything you need to make your stay a comfortable one.  A true ""home away from home.""  If available, combine with adjacent one bedroom unit to accommodate 6 people comfortably in beds. Perfect apartment rental for those in town visiting family and friends or for people who just need the temporary extra space.  Very comfortable, cozy, and convenient.   * Open and airy with lots of windows and light  * Large living room and dining room  * Gumwood architectural period detail and character  * Kitchen w/gas stove and breakfast bar, and all the appliances you need * Refinished hardwood oak floors throughout  * Shared porch (couch, grill, bistro table, tv) and backyard with patio (dining table and lounge furniture) * Laundry in unit * Driveway parking (negotiable) for 3 vehicles and plenty on street parking (no permits required) * 7-8 min walk to Needham line commuter rail. Short bus ride to Forrest Hills T (orange line).  * On a major bus l",Roslindale,Plenty of on street parking with no restrictions.  On major bus line.  Subway is 2 miles away and is a nice walk through the Arnold Arboretum or about 10 minutes by bus. The Needham line commuter rail is about a 7-8 minute walk from the house.  It runs on a set schedule Monday through Saturday.  Cab/Uber/Lyft rides from the city center approx $15-25.,4434391,Damon,t,Boston,MA,02131,United States,42.288820283584535,-71.1395101021012,Apartment,Entire home/apt,1.0,2.0,2.0,229.0,1.01,94.0,5,strict
12023024,Cozy room in a well located house,"The room is in a single family house located in a quite and safe neighborhood,  near business areas,  restaurants, shops, and close to the beautiful Arnold arboretum  with short  access to public transportation to downtown Boston,  about 20 min.",Roslindale,0,64331842,Ricardo,f,Boston,MA,02131,United States,42.286448197788786,-71.13932538848039,House,Private room,1.0,1.0,1.0,60.0,0.36,80.0,2,flexible
